id_lab,id,subset,no,requisitioner,tax_name,functional_group,n_replicates_nutrition,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,n_replicates_gas,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm,ch4_category,tddm_category,lmf_category,lmf_category_rank,quartile,quartile_rank
F24-3439,CIAT-7643,1,137,Genetic_bank,Desmanthus pernambucanus,Shrub_Trees,4,93.82,7.35,92.65,22.49,37.8,66.98,6,16.55,18.19,44.69,47.16,,,,,,
F24-3515,CIAT-21212,1,339,Genetic_bank,Canavalia sp.,Herbaceous_legumes,2,93.67,15,85,22.98,20.77,39.82,9,13.34,16.14,40.3,66.3,Low,High,Category_1a,15,Q1,11
F24-3440,CIAT-7703,1,139,Genetic_bank,Aeschynomene indica,Herbaceous_legumes,2,91.95,8.85,91.15,22.08,32.1,67.29,8,16.48,17.45,44.47,57.36,Low,Not High,Category_2,62,Q1,73
F24-3501,CIAT-19213,1,311,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,2,93.84,11.79,88.21,31.12,37.56,51.31,9,14.99,16.09,39.14,63.66,Low,High,Category_1a,16,Q1,32
F24-3639,CIAT-17360,2,67,Genetic_bank,Alysicarpus vaginalis,Herbaceous_legumes,2,92.85,21.71,78.29,24.55,20.16,37.06,8,15.72,16.94,39.91,62.8,Low,High,Category_1a,17,Q1,37
F24-3442,CIAT-7757,1,23,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,4,92.11,8.25,91.75,23.68,21.95,57.24,12,17.82,19.58,54.11,64.83,Medium,High,Category_1b,20,Q1,25
F24-3443,CIAT-7759,1,25,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,4,93.55,5.87,94.13,18.44,14.68,60.81,6,17.9,19.08,56.38,66.8,High,High,Category_3,1,Q1,10
F24-3444,CIAT-7790,1,27,Genetic_bank,Crotalaria pallida,Herbaceous_legumes,4,92.13,5.86,94.14,24.76,20.08,67.6,6,17.65,21.04,54.82,64.54,Medium,High,Category_1b,21,Q1,28
F24-3445,CIAT-7792,1,29,Genetic_bank,Chamaecrista rotundifolia,Herbaceous_legumes,4,92.91,8.06,91.94,21.83,23.49,63.97,6,16.63,19.18,49.52,65.27,Medium,High,Category_1b,13,Q1,20
F24-3446,CIAT-7816,1,31,Genetic_bank,Indigofera spicata,Herbaceous_legumes,4,92.5,17.6,82.4,26.04,23.11,54.74,6,15.45,17.82,41.04,64.89,Low,High,Category_1a,18,Q1,24
F24-3447,CIAT-7858,1,33,Genetic_bank,Crotalaria incana,Herbaceous_legumes,4,93.18,9.16,90.84,30.23,23.57,60.74,6,16.68,18.6,46.55,73.8,Medium,High,Category_1b,1,Q1,2
F25-1686,CIAT-20345,3,101,Genetic_bank,Pachyrhizus erosus,Herbaceous_legumes,2,93.72,10.63,89.37,17.94,22.48,38.5,9,13.31,14.14,41.24,64.53,Low,High,Category_1a,19,Q1,29
F24-3422,CIAT-819,1,13,Genetic_bank,Indigofera suffruticosa,Shrub_Trees,2,90.76,17.06,82.94,26.78,26.09,53.05,8,14.22,16.94,39.4,60.93,Low,High,Category_1a,11,Q1,18
F24-3449,CIAT-8205,1,37,Genetic_bank,Indigofera suffruticosa,Shrub_Trees,4,92.21,14.65,85.35,24.78,26.76,51.2,6,19,20.51,46.97,62.07,Low,High,Category_1a,17,Q1,13
F24-3450,CIAT-8402,1,39,Genetic_bank,Indigofera suffruticosa,Shrub_Trees,4,92,17.72,82.28,26.24,18.99,47.9,5,18.76,20.59,42.3,62.49,Low,High,Category_1a,12,Q1,12
F24-3451,CIAT-8408,1,41,Genetic_bank,Chamaecrista nictitans,Herbaceous_legumes,4,94.03,6.87,93.13,24.12,38.38,58.64,6,17.22,20.47,58.52,47.3,High,Not High,Category_4,16,Q3,183
F24-3452,CIAT-8409,1,43,Genetic_bank,Chamaecrista nictitans,Herbaceous_legumes,4,91.94,7.66,92.34,26.82,38.02,61.85,5,16.98,20.56,54.13,49.94,Medium,Not High,Category_2,170,Q3,164
