id_lab,id,subset,no,requisitioner,tax_name,functional_group,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,n_replicates_nutrition
F24-3564,CIAT-11778,3,185.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,0.16,0.04,0.04,0.0,0.78,0.46,2
F24-3565,CIAT-11784,3,187.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,0.14,0.14,0.14,0.0,1.2,1.86,2
F24-3566,CIAT-11820,3,189.0,Genetic_bank,Stylosanthes scabra,Herbaceous_legumes,0.12,2.63,2.63,0.02,0.33,0.47,2
F24-3567,CIAT-12042,3,191.0,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,0.13,0.65,0.65,0.0,0.43,0.1,2
F24-3568,CIAT-12115,3,239.0,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,0.11,0.27,0.27,0.0,0.5,1.26,2
F24-3569,CIAT-12140,3,241.0,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,0.03,0.08,0.08,0.0,0.21,0.97,2
F24-3570,CIAT-12184,3,243.0,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,0.56,0.2,0.2,0.0,0.13,2.33,2
F24-3571,CIAT-12202,3,245.0,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,0.06,0.01,0.01,0.0,1.12,0.13,2
F24-3572,CIAT-12311,3,247.0,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,0.13,0.02,0.02,0.0,0.35,1.42,2
F24-3573,CIAT-12381,3,249.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,0.01,0.03,0.03,0.0,0.06,0.28,2
F24-3574,CIAT-12374,3,251.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,0.95,0.55,0.55,0.0,0.08,1.0,2
F24-3575,CIAT-12457,3,253.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,0.09,0.08,0.08,0.0,0.88,2.58,2
F24-3576,CIAT-12462,3,255.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,0.13,0.05,0.05,0.0,0.64,2.35,2
F24-3577,CIAT-12485,3,257.0,Genetic_bank,Stylosanthes scabra,Herbaceous_legumes,0.16,0.33,0.33,0.0,0.08,1.06,2
F24-3578,CIAT-12615,3,259.0,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,0.04,0.02,0.02,0.0,0.94,1.84,2
F24-3579,CIAT-12686,3,261.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,0.02,0.01,0.01,0.0,1.01,2.15,2
F24-3580,CIAT-12710,3,263.0,Genetic_bank,Stylosanthes scabra,Herbaceous_legumes,0.06,0.65,0.65,0.0,0.74,0.16,2
F24-3581,CIAT-12758,3,265.0,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,0.02,0.08,0.08,0.0,1.56,1.84,2
