id_lab,id,subset,no,requisitioner,tax_name,functional_group,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,n_replicates_nutrition
F24-3545,CIAT-1803,2,121.0,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,91.86,8.67,91.33,17.76,34.2,77.62,2
F24-3546,CIAT-1964,2,123.0,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,90.29,9.43,90.57,16.9,34.86,79.75,2
F24-3547,CIAT-2613,2,125.0,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,91.94,13.26,86.74,12.31,37.2,76.95,2
F24-3548,CIAT-2783,3,153.0,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,89.75,10.11,89.89,4.07,31.3,49.65,2
F24-3549,CIAT-10440,3,155.0,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,90.24,11.91,88.09,17.78,31.37,51.77,2
F24-3550,CIAT-10613,3,157.0,Genetic_bank,Stylosanthes scabra,Herbaceous_legumes,92.84,7.89,92.11,19.44,46.21,59.51,2
F24-3551,CIAT-10627,3,159.0,Genetic_bank,Stylosanthes scabra,Herbaceous_legumes,93.39,13.71,86.29,15.96,39.59,57.5,2
F24-3552,CIAT-10634,3,161.0,Genetic_bank,Stylosanthes scabra,Herbaceous_legumes,93.02,10.56,89.44,11.83,33.59,56.99,2
F24-3553,CIAT-10639,3,163.0,Genetic_bank,Stylosanthes scabra,Herbaceous_legumes,93.2,11.08,88.92,15.74,35.04,53.94,2
F24-3554,CIAT-10725,3,165.0,Genetic_bank,Stylosanthes scabra,Herbaceous_legumes,92.39,11.55,88.45,15.72,41.09,58.81,2
F24-3555,CIAT-11199,3,167.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,91.82,8.77,91.23,15.0,36.3,58.28,2
F24-3556,CIAT-11215,3,169.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,92.9,10.52,89.48,14.8,27.87,52.53,2
F24-3557,CIAT-11220,3,171.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,91.88,8.42,91.58,18.31,26.31,56.95,2
F24-3558,CIAT-11232,3,173.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,91.23,7.32,92.68,17.37,34.64,54.2,2
F24-3559,CIAT-11313,3,175.0,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,92.19,11.54,88.46,15.09,38.82,55.96,2
F24-3560,CIAT-11417,3,177.0,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,91.5,12.06,87.94,14.94,41.48,57.23,2
F24-3561,CIAT-11624,3,179.0,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,92.04,12.04,87.96,12.26,33.73,54.88,2
F24-3562,CIAT-11690,3,181.0,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,90.68,12.89,87.11,15.62,33.51,54.33,2
F24-3563,CIAT-11762,3,183.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,90.71,8.06,91.94,16.73,39.8,58.73,2
F24-3564,CIAT-11778,3,185.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,92.06,8.58,91.42,15.95,26.27,54.21,2
F24-3565,CIAT-11784,3,187.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,92.3,8.64,91.36,16.99,35.91,59.39,2
F24-3566,CIAT-11820,3,189.0,Genetic_bank,Stylosanthes scabra,Herbaceous_legumes,91.81,11.13,88.87,16.9,31.38,52.89,2
F24-3567,CIAT-12042,3,191.0,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,91.35,15.08,84.92,18.06,31.39,53.81,2
F24-3568,CIAT-12115,3,239.0,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,92.48,8.91,91.09,15.32,34.71,55.55,2
F24-3569,CIAT-12140,3,241.0,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,91.57,11.22,88.78,19.39,28.23,54.15,2
F24-3570,CIAT-12184,3,243.0,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,92.54,10.37,89.63,15.38,25.67,48.49,2
F24-3571,CIAT-12202,3,245.0,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,92.63,10.68,89.32,18.22,24.08,48.06,2
F24-3572,CIAT-12311,3,247.0,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,91.76,15.04,84.96,16.63,34.79,53.68,2
F24-3573,CIAT-12381,3,249.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,92.25,13.21,86.79,17.11,33.25,56.81,2
F24-3574,CIAT-12374,3,251.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,91.94,8.79,91.21,17.42,30.52,56.26,2
F24-3575,CIAT-12457,3,253.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,93.7,11.91,88.09,16.96,27.69,55.43,2
F24-3576,CIAT-12462,3,255.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,92.55,9.45,90.55,19.36,26.71,57.45,2
F24-3577,CIAT-12485,3,257.0,Genetic_bank,Stylosanthes scabra,Herbaceous_legumes,93.95,13.35,86.65,14.59,30.78,55.79,2
F24-3578,CIAT-12615,3,259.0,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,89.76,10.4,89.6,14.07,35.32,53.46,2
F24-3579,CIAT-12686,3,261.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,90.96,10.25,89.75,16.0,34.52,48.94,2
F24-3580,CIAT-12710,3,263.0,Genetic_bank,Stylosanthes scabra,Herbaceous_legumes,91.72,11.21,88.79,11.5,38.43,58.38,2
F24-3581,CIAT-12758,3,265.0,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,91.38,9.52,90.48,14.95,34.11,56.97,2
