gene_bank_breeding_id,tax_name,functional_group,ch4_percentage_8h,ch4_percentage_24h,ch4_intensity_ml_g_tddm,tddm_mg_g,ch4_intensity_decrease_percentage,benchmark_vs_control,ch4_intensity_category,tddm_category,score_ch4_intensity,score_tddm,composite_score,x,overall_rank,selected,ch4_percentage_8h_reduction_percentage,ch4_percentage_24h_reduction,top_10_percentage_of_methane_emitters
Gene bank / Breeding ID,Tax Name,"Functional 
Group",CH4% (8h),CH4% (24h),"CH4 Intensity 
[ml/g TDDM]",TDDM [mg/g],CH4 Intensity  Decrease%,Benchmark vs. Control,"CH4 Intensity 
Category","TDDM 
Category","Score
CH4 Intensity","Score
TDDM","Composite 
Score",,"Overall 
Rank",Selected,"CH4% (8h)
Reduction%","CH4% (24h)
Reduction%",Top 10% of methane emitters
CIAT-BR04_3025,Brachiaria interespecifico,Grass,14.4,15.78136732,52.15527062,44.77099369,0.25,,Medium,Not High,0,0,0,-99,0,0,-0.03,-0.008,
CIAT-BR05_1435,Brachiaria interespecifico,Grass,14.61111111,16.20150791,48.32562992,45.93251512,0.3,,Medium,Not High,0,0,0,-99,0,0,-0.045,-0.035,
CIAT-BR06_0423,Brachiaria interespecifico,Grass,14.6125,15.14085715,35.98065725,64.27344606,0.48,,Low,High,1.173,1.423,3.769,3.769,17,1,-0.045,0.033,
CIAT-BR09_1232,Brachiaria interespecifico,Grass,13.7625,14.37004035,36.04397144,66.64386119,0.48,,Low,High,1.167,1.672,4.006,4.006,12,1,0.016,0.082,
CIAT-BR09_3660,Brachiaria interespecifico,Grass,14.92222222,16.42253229,53.58402717,38.27779526,0.23,,Medium,Not High,0,0,0,-99,0,0,-0.067,-0.049,
CIAT-BR09_4777,Brachiaria interespecifico,Grass,13.44444444,14.82656368,43.33060992,55.50804333,0.37,,Low,Not High,0,0,0,-99,0,0,0.039,0.053,
CIAT-BR12_0255,Brachiaria interespecifico,Grass,11.23333333,13.08918257,45.13055888,50.33091247,0.35,,Medium,Not High,0,0,0,-99,0,0,0.197,0.164,
CIAT-BR12_0461,Brachiaria interespecifico,Grass,11.71666667,13.5193047,46.40251686,47.67603482,0.33,,Medium,Not High,0,0,0,-99,0,0,0.162,0.137,
CIAT-BR12_1362,Brachiaria interespecifico,Grass,13.675,14.81286717,45.89577736,44.29831152,0.34,,Medium,Not High,0,0,0,-99,0,0,0.022,0.054,
CIAT-BR12_1620,Brachiaria interespecifico,Grass,13.56666667,14.850138,53.6815281,47.35279919,0.22,,Medium,Not High,0,0,0,-99,0,0,0.03,0.052,
CIAT-BR12_1889,Brachiaria interespecifico,Grass,13.42222222,14.67646926,46.01431242,51.55761317,0.33,,Medium,Not High,0,0,0,-99,0,0,0.04,0.063,
CIAT-BR12_2462,Brachiaria interespecifico,Grass,13.8875,14.62420432,53.10612308,34.30809934,0.23,,Medium,Not High,0,0,0,-99,0,0,0.007,0.066,
