id_lab,id,tax_name,functional_group,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,net_gas_8h_ml,net_gas_24h_ml,gas_ml_g_dm_incubated_24h,tddm,part_fact,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,ch4_ml_g_dm_incubated_24h,methane_intensity,ch4_ml_g_ndf_digested_24h
F24-3437,CIAT-7339,Indigofera lespedezioides,Herbaceous_legumes,91.99,16.46,83.54,24.97,42.71,57.94,28.21,47.62,103.48,53.95,5.34,16.06,17.66,18.23,34.71,268.38
F24-3438,CIAT-7469,Clitoria ternatea,Herbaceous_legumes,92.16,8.09,91.91,26.37,22.54,60.53,42.42,79.04,171.45,65.71,3.85,16.63,18.01,30.78,47.75,135.76
F24-3439,CIAT-7643,Desmanthus pernambucanus,Shrub_Trees,93.82,7.35,92.65,22.49,37.8,66.98,29.59,54.22,115.47,47.16,4.08,16.55,18.19,21.0,44.69,158.79
F24-3440,CIAT-7703,Aeschynomene indica,Herbaceous_legumes,91.95,8.85,91.15,22.08,32.1,67.29,37.66,66.23,144.0,57.36,3.98,16.48,17.45,25.07,44.47,116.69
F24-3441,CIAT-7714,Alysicarpus glumaceus,Herbaceous_legumes,93.05,17.46,82.54,20.67,27.79,67.31,36.05,65.7,141.15,64.72,4.61,15.09,16.6,23.58,36.76,99.24
F24-3442,CIAT-7757,Clitoria ternatea,Herbaceous_legumes,92.11,8.25,91.75,23.68,21.95,57.24,41.62,78.36,170.05,64.37,3.8,15.8,17.25,29.49,46.06,145.5
F24-3443,CIAT-7759,Clitoria ternatea,Herbaceous_legumes,93.55,5.87,94.13,18.44,14.68,60.81,40.39,84.22,179.95,64.84,3.64,15.8,16.82,30.52,47.01,120.14
F24-3444,CIAT-7790,Crotalaria pallida,Herbaceous_legumes,92.13,5.86,94.14,24.76,20.08,67.6,32.89,69.33,150.4,61.25,4.1,16.07,18.89,28.69,46.83,101.62
F24-3445,CIAT-7792,Chamaecrista rotundifolia,Herbaceous_legumes,92.91,8.06,91.94,21.83,23.49,63.97,40.93,73.08,157.21,65.8,4.2,14.69,16.83,26.65,40.68,91.88
F24-3446,CIAT-7816,Indigofera spicata,Herbaceous_legumes,92.5,17.6,82.4,26.04,23.11,54.74,29.44,61.9,133.76,65.79,4.97,13.37,15.95,21.52,32.93,113.18
F24-3447,CIAT-7858,Crotalaria incana,Herbaceous_legumes,93.18,9.16,90.84,30.23,23.57,60.74,46.57,82.39,176.73,75.03,4.27,14.73,16.32,28.98,38.79,82.63
F24-3448,CIAT-7972,Canavalia brasiliensis,Herbaceous_legumes,91.92,17.83,82.17,27.77,23.86,56.09,36.2,67.42,146.61,68.52,4.69,13.76,16.13,23.76,35.17,115.44
F24-3449,CIAT-8205,Indigofera suffruticosa,Herbaceous_legumes,92.21,14.65,85.35,24.78,26.76,51.2,27.41,57.83,125.33,63.4,5.19,16.87,18.02,22.85,36.31,172.4
F24-3450,CIAT-8402,Indigofera suffruticosa,Herbaceous_legumes,92.0,17.72,82.28,26.24,18.99,47.9,32.59,58.26,126.58,64.85,5.15,16.26,17.93,22.73,35.27,197.94
F24-3451,CIAT-8408,Chamaecrista nictitans,Herbaceous_legumes,94.03,6.87,93.13,24.12,38.38,58.64,32.48,61.75,131.26,48.31,3.71,15.03,18.27,24.05,50.04,421.29
F24-3452,CIAT-8409,Chamaecrista nictitans,Herbaceous_legumes,91.94,7.66,92.34,26.82,38.02,61.85,31.94,54.13,117.71,51.49,4.42,15.14,18.5,21.95,42.92,186.55
F24-3453,CIAT-8719,Canavalia sp. ,Herbaceous_legumes,93.52,17.12,82.88,22.04,15.95,40.19,35.72,65.97,141.01,69.74,4.97,14.29,16.47,23.39,34.19,239.49
F24-3454,CIAT-8797,Desmanthus virgatus,Shrub_Trees,92.9,7.05,92.95,24.5,30.23,59.98,29.35,54.44,117.15,49.41,4.28,13.23,15.52,18.41,37.41,207.39
F24-3455,CIAT-8819,Coursetia caribaea,Herbaceous_legumes,91.77,13.95,86.05,22.92,19.59,43.99,30.66,63.85,139.09,65.65,4.75,15.99,17.87,25.03,38.36,725.23
F24-3456,CIAT-9170,Indigofera lespedezioides,Herbaceous_legumes,93.09,15.38,84.62,20.75,41.99,54.57,28.1,44.6,95.77,42.54,4.45,15.12,16.69,15.99,38.2,468.11
F24-3457,CIAT-9254,Crotalaria pallida,Herbaceous_legumes,90.83,6.64,93.36,24.65,20.58,55.34,31.49,68.2,150.13,59.58,4.0,18.25,20.76,31.24,52.29,222.84
