ch4_ml_g_ndf_digested_24h,CH4_Decrease_Pct,Benchmark_vs_Control,CH4_Category,TDDM_Category,Z_Score_CH4,Z_Score_TDDM,Composite_Score,Overall_Rank,CH4_8h_Reduction_Pct,CH4_24h_Reduction_Pct,Accession_ID,CH4_Intensity,TDDM,CH4_8h,category,functional_group
155.096404,40.29204761,4.529555191,Low,Not High,0.219194944,0.017709606,0.219194944,71,-11.41798627,#N/A,CIAT-CIAT-16048,48.72049657,48.50177859,15.2375,Category_2,Grasses
282.5983487,40.1318553,4.27341458,Low,Not High,0.209816533,0.069860803,0.209816533,72,-3.831691879,#N/A,CIAT-PM-21-0059,48.85121029,48.99762907,14.2,Category_2,Grasses
-1421.481038,40.06665052,4.16915495,Low,Not High,0.205999139,-0.239805666,0.205999139,73,7.623917319,#N/A,CIAT-BR-19-6136,48.90441609,46.05333872,12.63333333,Category_2,Grasses
-2093.713543,39.94607079,3.976353151,Low,Not High,0.198939835,-0.302673712,0.198939835,74,9.330071881,#N/A,CIAT-BR-19-1264,49.00280674,45.45559308,12.4,Category_2,Grasses
141.0925903,39.90556569,3.91158724,Low,Not High,0.196568476,0.325671694,0.196568476,75,-7.000264636,#N/A,CIAT-PM-21-0053,49.0358581,51.4298638,14.63333333,Category_2,Grasses
377.2406528,39.81916701,3.773439482,Low,Not High,0.191510292,0.247703829,0.191510292,76,3.80538092,#N/A,CIAT-BR-15-3434,49.10635769,50.68854998,13.15555556,Category_2,Grasses
237.7736709,39.75830519,3.676124055,Low,Not High,0.187947155,0.375705794,0.187947155,77,5.948229804,#N/A,CIAT-36087-MulatoII-Opt,49.15601972,51.90558505,12.8625,Category_2,Grasses
436.78641,39.53411909,3.317660131,Low,Not High,0.174822248,0.368410591,0.174822248,78,4.820949111,#N/A,CIAT-BH-22-0456,49.3389511,51.83622268,13.01666667,Category_2,Grasses
197.0687694,39.42285851,3.139759257,Low,Not High,0.168308531,-0.203075523,0.168308531,79,-3.506710057,#N/A,CIAT-PM-21-0055,49.42973751,46.40256674,14.15555556,Category_2,Grasses
680.4573562,39.32868332,2.989177172,Low,Not High,0.162795072,0.130451621,0.162795072,80,-3.344219147,#N/A,CIAT-PM-21-0065,49.50658259,49.57372296,14.13333333,Category_2,Grasses
535.8586863,39.13941388,2.686543488,Low,Not High,0.15171435,0.014483899,0.15171435,81,6.323990034,#N/A,CIAT-BR-19-5357,49.66102267,48.47110877,12.81111111,Category_2,Grasses
211.7640115,39.10360044,2.629279336,Low,Not High,0.149617663,-0.263095999,0.149617663,82,1.855489993,#N/A,CIAT-CIAT-16025,49.69024572,45.83189562,13.42222222,Category_2,Grasses
126.2941203,38.88743822,2.283645267,Low,Not High,0.136962511,0.802428661,0.136962511,83,-19.67455566,#N/A,CIAT-BH-16-B-1618,49.86662977,55.96284067,16.36666667,Category_2,Grasses
115.5532303,38.55055248,1.744979476,Low,Not High,0.117239637,1.049631443,0.117239637,84,-25.19924662,#N/A,CIAT-PM-21-3534,50.1415218,58.31323,17.12222222,Category_2,Grasses
-4.203087871,38.51721835,1.691679628,Low,Not High,0.1152881,0.198591915,0.1152881,85,5.034218431,#N/A,Cayman-Br-02-1752,50.16872179,50.22159683,12.9875,Category_2,Grasses
242.6964204,38.48414119,1.63879068,Low,Not High,0.113351608,0.77777577,0.113351608,86,1.449262716,#N/A,BR-06-423-Cayman-Exc,50.19571209,55.72844244,13.47777778,Category_2,Grasses
121.1815183,38.4765086,1.626586493,Low,Not High,0.11290476,-0.111406067,0.11290476,87,5.592780937,#N/A,CIAT-CIAT-6297,50.20194014,47.27415447,12.91111111,Category_2,Grasses
-490.2729515,38.16135041,1.122662116,Low,Not High,0.094453919,-0.257459066,0.094453919,88,-10.25008285,#N/A,CIAT-PM-21-6080,50.45910292,45.88549124,15.07777778,Category_2,Grasses
170.2609648,38.03109185,0.914384296,Low,Not High,0.086827971,-0.320199316,0.086827971,89,-8.543928286,#N/A,CIAT-PM-21-3595,50.5653913,45.28896068,14.84444444,Category_2,Grasses
172.8412732,37.79395532,0.535213194,Low,Not High,0.072944885,-0.339285064,0.072944885,90,-6.91901918,#N/A,CIAT-PM-21-3550,50.75888998,45.10749452,14.62222222,Category_2,Grasses
247.0917974,37.75309608,0.46988102,Low,Not High,0.070552793,0.021149422,0.070552793,91,2.505453635,#N/A,CIAT-6133-Llanero-Opt,50.7922303,48.53448416,13.33333333,Category_2,Grasses
-4332.821057,37.73638143,0.443155025,Low,Not High,0.069574239,-0.060515195,0.069574239,92,12.41739918,#N/A,CIAT-BR-15-7121,50.80586912,47.75802185,11.97777778,Category_2,Grasses
195.9168933,37.69348475,0.374565073,Low,Not High,0.067062865,-0.151348378,0.067062865,93,-5.050373708,#N/A,CIAT-PM-21-0185,50.84087196,46.89438535,14.36666667,Category_2,Grasses
-90.29756644,37.58223286,0.196678088,Low,Not High,0.060549657,0.013399357,0.060549657,94,-5.53784644,#N/A,CIAT-PM-21-0047,50.93165128,48.460797,14.43333333,Category_2,Grasses
1497.74509,37.529173,0.111837665,Low,Not High,0.057443284,-0.571417086,0.057443284,95,-0.489021718,#N/A,CIAT-PM-21-0078,50.97494706,42.90039708,13.74285714,Category_2,Grasses
-349.6656646,37.52115329,0.0990145,Low,Not High,0.056973772,-0.342134845,0.056973772,96,6.718610817,#N/A,CIAT-BR-19-5217,50.98149098,45.08039898,12.75714286,Category_2,Grasses
1079.449796,37.50238858,0.069010531,Low,Not High,0.055875198,-0.341223527,0.055875198,97,0.24218738,#N/A,CIAT-CIAT-6986,50.99680261,45.08906373,13.64285714,Category_2,Grasses
246.9467102,37.45922886,0,Low,Not High,0.053348425,0.712991966,0.053348425,98,0.393071797,#N/A,BR-02-1752-Cayman-Exc,51.03202008,55.11248189,13.62222222,Category_2,Grasses
141.1897581,37.27651214,-0.292156177,Low,Not High,0.04265133,1.038345254,0.04265133,99,-23.36542063,#N/A,CIAT-PM-21-3545,51.18111328,58.20592158,16.87142857,Category_2,Grasses
-3662.275784,36.95423295,-0.807466714,Low,Not High,0.023783592,-0.489533199,0.023783592,100,11.27996281,#N/A,CIAT-BR-02-0465,51.44408666,43.6789442,12.13333333,Category_2,Grasses
0.626844625,36.88344752,-0.920649569,Low,Not High,0.01963948,0.657099655,0.01963948,101,1.600147133,#N/A,CIAT-BR-06-1348,51.50184615,54.58106112,13.45714286,Category_2,Grasses
177.3461588,36.79597599,-1.06051279,Low,Not High,0.014518486,-0.311079782,0.014518486,102,-2.044291862,#N/A,CIAT-PM-21-0062,51.57322118,45.37566867,13.95555556,Category_2,Grasses
-2899.727343,36.66203771,-1.274674321,Low,Not High,0.00667711,-0.053181726,0.00667711,103,6.486480945,#N/A,CIAT-BR-19-4678,51.68251214,47.82774803,12.78888889,Category_2,Grasses
189.5762781,36.55147757,-1.451455226,Low,Not High,0.0002044,-0.284972665,0.0002044,104,-8.381437376,#N/A,CIAT-PM-21-0086,51.772727,45.62389359,14.82222222,Category_2,Grasses
175.5467318,36.30901864,-1.839136619,Low,Not High,-0.013990285,-0.65530327,-0.013990285,105,-9.112646473,#N/A,CIAT-CIAT-6799,51.97056865,42.10281223,14.92222222,Category_2,Grasses
253.3708404,35.96706596,-2.38590423,Low,Not High,-0.034009802,0.881620542,-0.034009802,106,2.505453635,#N/A,CIAT-606-Basilisk-Exc,52.24959521,56.71579236,13.33333333,Category_2,Grasses
254.3870302,35.64317211,-2.903796544,Low,Not High,-0.052972069,-0.001875964,-0.052972069,107,4.536590018,#N/A,CIAT-606-Basilisk-Opt,52.51388612,48.31556016,13.05555556,Category_2,Grasses
614.8346237,35.204969,-3.604464457,Low,Not High,-0.078626538,-0.311094034,-0.078626538,108,1.89611272,#N/A,CIAT-BH-22-4454,52.87145111,45.37553317,13.41666667,Category_2,Grasses
199.6664566,35.18041396,-3.6437269,Low,Not High,-0.080064105,-0.590433521,-0.080064105,109,-6.431546448,#N/A,CIAT-PM-21-4449,52.89148752,42.71958994,14.55555556,Category_2,Grasses
253.2027887,34.93109149,-4.042382801,Medium,Not High,-0.094660615,0.340870566,-0.094660615,110,-3.100482781,#N/A,CIAT-6294-Marandu-Exc,53.09492968,51.57437377,14.1,Category_2,Grasses
469.1447153,34.86724129,-4.144476512,Medium,Not High,-0.098398705,-0.750584297,-0.098398705,111,1.809064018,#N/A,CIAT-PM-21-0876,53.14703017,41.1968859,13.42857143,Category_2,Grasses
219.8677202,34.84019417,-4.18772369,Medium,Not High,-0.09998217,-0.478522636,-0.09998217,112,1.20552635,#N/A,CIAT-CIAT-26124,53.16910008,43.78363198,13.51111111,Category_2,Grasses
636.5711565,34.71730814,-4.38421317,Medium,Not High,-0.107176496,-0.79755962,-0.107176496,113,-1.272460037,#N/A,CIAT-PM-21-4852,53.26937263,40.75024733,13.85,Category_2,Grasses
130.3640076,34.24290035,-5.142770788,Medium,Not High,-0.134950557,1.102971479,-0.134950557,114,-19.99953748,#N/A,CIAT-BH-16-B-0741,53.6564799,58.82038388,16.41111111,Category_2,Grasses
335.9780059,34.18302146,-5.238514562,Medium,Not High,-0.138456149,-0.88664524,-0.138456149,115,-5.294110074,#N/A,CIAT-PM-21-4926,53.70533988,39.90322655,14.4,Category_2,Grasses
250.402246,34.08839119,-5.389824286,Medium,Not High,-0.143996249,-3.211069853,-0.143996249,116,7.014576404,#N/A,Sabana-Quemada,53.78255629,17.80273569,12.71666667,Category_2,Grasses
