23_no,23_date,23_requisitioner,23_set_ciat,23_ciat_lab_id,23_gene_bank_breeding_program_id,23_genus,23_species,23_tax_name,23_family,23_order,23_functional_group,23_replication,23_dm_percentage,23_av_dm_percentage,
109,,Genetic bank,24,F25-1690,CIAT-22409,Cratylia,argentea,Cratylia argentea,Fabaceae,Fabales,Shrub,A,30.9802417,30.48124597,
110,,Genetic bank,24,F25-1690,CIAT-22409,Cratylia,argentea,Cratylia argentea,Fabaceae,Fabales,Shrub,B,29.98225023,,
111,,Genetic bank,24,F25-1691,CIAT-22692,Lablab,purpureus,Lablab purpureus,Fabaceae,Fabales,Climber,A,25.65925088,24.26003402,
112,,Genetic bank,24,F25-1691,CIAT-22692,Lablab,purpureus,Lablab purpureus,Fabaceae,Fabales,Climber,B,22.86081715,,
113,,Genetic bank,24,F25-1692,CIAT-23715,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Shrub,A,58.10429458,59.1384802,
114,,Genetic bank,24,F25-1692,CIAT-23715,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Shrub,B,60.17266582,,
115,,Genetic bank,24,F25-1693,CIAT-23746,Codariocalyx,gyroides,Codariocalyx gyroides,Fabaceae,Fabales,Shrub,A,41.54960311,40.50069508,
116,,Genetic bank,24,F25-1693,CIAT-23746,Codariocalyx,gyroides,Codariocalyx gyroides,Fabaceae,Fabales,Shrub,B,39.45178704,,
117,,Genetic bank,24,F25-1694,CIAT-23985,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,A,24.66270241,24.8690683,
118,,Genetic bank,24,F25-1694,CIAT-23985,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,B,25.07543419,,
119,,Genetic bank,24,F25-1695,CIAT-32265,Chamaecrista,diphylla,Chamaecrista diphylla,Fabaceae,Fabales,Herbaceous,A,37.34095933,37.98091387,
120,,Genetic bank,24,F25-1695,CIAT-32265,Chamaecrista,diphylla,Chamaecrista diphylla,Fabaceae,Fabales,Herbaceous,B,38.62086841,,
121,,Genetic bank,24,F25-1696,CIAT-33070,Desmodium,oblongum,Desmodium oblongum,Fabaceae,Fabales,Shrub,A,39.02928157,39.34447648,
122,,Genetic bank,24,F25-1696,CIAT-33070,Desmodium,oblongum,Desmodium oblongum,Fabaceae,Fabales,Shrub,B,39.65967139,,
123,,Genetic bank,24,F25-1697,CIAT-33079,Desmodium,oblongum,Desmodium oblongum,Fabaceae,Fabales,Shrub,A,29.01546471,28.90196151,
124,,Genetic bank,24,F25-1697,CIAT-33079,Desmodium,oblongum,Desmodium oblongum,Fabaceae,Fabales,Shrub,B,28.7884583,,
125,,Genetic bank,24,F25-1698,CIAT-33131,Codariocalyx,gyroides,Codariocalyx gyroides,Fabaceae,Fabales,Shrub,A,40.6832769,41.11176551,
126,,Genetic bank,24,F25-1698,CIAT-33131,Codariocalyx,gyroides,Codariocalyx gyroides,Fabaceae,Fabales,Shrub,B,41.54025411,,
127,,Genetic bank,24,F25-1699,CIAT-33195,Dalea,carthagenensis,Dalea carthagenensis,Fabaceae,Fabales,Herbaceous,A,23.28306389,23.47900133,
128,,Genetic bank,24,F25-1699,CIAT-33195,Dalea,carthagenensis,Dalea carthagenensis,Fabaceae,Fabales,Herbaceous,B,23.67493878,,
129,,Genetic bank,24,F25-1700,CIAT-43055,Desmodium,discolor,Desmodium discolor,Fabaceae,Fabales,Herbaceous,A,21.98323896,22.44849579,
130,,Genetic bank,24,F25-1700,CIAT-43055,Desmodium,discolor,Desmodium discolor,Fabaceae,Fabales,Herbaceous,B,22.91375263,,
131,,LMF,24,F25-0017,Hohenheimer Heustandard,Hohenheimer,Heustandard,Hohenheimer Heustandard,0,0,0,A,,#DIV/0!,
132,,LMF,24,F25-0017,Hohenheimer Heustandard,Hohenheimer,Heustandard,Hohenheimer Heustandard,0,0,0,B,,,
133,,LMF,24,F25-0008,Sample 8,Cynodon,nlemfuensis ,Cynodon nlemfuensis ,0,0,0,A,,#DIV/0!,
