22_no,22_date,22_requisitioner,22_set_ciat,22_ciat_lab_id,22_gene_bank_breeding_program_id,22_genus,22_species,22_tax_name,22_family,22_order,22_functional_group,22_replication,22_dm_percentage,22_av_dm_percentage
117,,Genetic bank,24,F25-1694,CIAT-23985,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,A,18.34068238,18.34068238
118,,Genetic bank,24,F25-1694,CIAT-23985,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,B,18.34068238,
119,,Genetic bank,24,F25-1695,CIAT-32265,Chamaecrista,diphylla,Chamaecrista diphylla,Fabaceae,Fabales,Herbaceous,A,17.04227797,17.04227797
120,,Genetic bank,24,F25-1695,CIAT-32265,Chamaecrista,diphylla,Chamaecrista diphylla,Fabaceae,Fabales,Herbaceous,B,17.04227797,
121,,Genetic bank,24,F25-1696,CIAT-33070,Desmodium,oblongum,Desmodium oblongum,Fabaceae,Fabales,Shrub,A,16.08644516,16.08644516
122,,Genetic bank,24,F25-1696,CIAT-33070,Desmodium,oblongum,Desmodium oblongum,Fabaceae,Fabales,Shrub,B,16.08644516,
123,,Genetic bank,24,F25-1697,CIAT-33079,Desmodium,oblongum,Desmodium oblongum,Fabaceae,Fabales,Shrub,A,18.2657918,18.2657918
124,,Genetic bank,24,F25-1697,CIAT-33079,Desmodium,oblongum,Desmodium oblongum,Fabaceae,Fabales,Shrub,B,18.2657918,
125,,Genetic bank,24,F25-1698,CIAT-33131,Codariocalyx,gyroides,Codariocalyx gyroides,Fabaceae,Fabales,Shrub,A,17.67105206,17.67105206
126,,Genetic bank,24,F25-1698,CIAT-33131,Codariocalyx,gyroides,Codariocalyx gyroides,Fabaceae,Fabales,Shrub,B,17.67105206,
127,,Genetic bank,24,F25-1699,CIAT-33195,Dalea,carthagenensis,Dalea carthagenensis,Fabaceae,Fabales,Herbaceous,A,16.46952677,16.46952677
