24_no,24_date,24_requisitioner,24_set_ciat,24_ciat_lab_id,24_gene_bank_breeding_program_id,24_genus,24_species,24_tax_name,24_family,24_order,24_functional_group,24_batches_ciat,24_id_lab,24_replication,24_ndf_percentage_dm,24_av_adf_percentage_dm
133,46175,GENBANK,38,F260526,CIAT33726,Desmodium,sandwicense,Desmodium sandwicense,Fabaceae,Fabales,Herbaceous,"89,90,91",OT-006,A,60.3552326,60.71904902
134,46175,GENBANK,38,F260526,CIAT33726,Desmodium,sandwicense,Desmodium sandwicense,Fabaceae,Fabales,Herbaceous,"89,90,91",OT-006,B,61.08286545,
135,46175,GENBANK,38,F260532,CIAT13930,Desmodium,glabrum,Desmodium glabrum,Fabaceae,Fabales,Shurb_Tree,"89,90,91",OT-006,A,34.78071124,35.38043422
136,46175,GENBANK,38,F260532,CIAT13930,Desmodium,glabrum,Desmodium glabrum,Fabaceae,Fabales,Shurb_Tree,"89,90,91",OT-006,B,35.9801572,
137,46175,GENBANK,38,F260533,CIAT21082,Flemingia,stricta,Flemingia stricta,Fabaceae,Fabales,Shurb_Tree,"89,90,91",OT-006,A,66.55727155,64.91425484
138,46175,GENBANK,38,F260533,CIAT21082,Flemingia,stricta,Flemingia stricta,Fabaceae,Fabales,Shurb_Tree,"89,90,91",OT-006,B,63.27123813,
139,46175,GENBANK,38,F260535,CIAT21091,Flemingia,stricta,Flemingia stricta,Fabaceae,Fabales,Shurb_Tree,"89,90,91",OT-006,A,70.90077473,70.86102497
140,46175,GENBANK,38,F260535,CIAT21091,Flemingia,stricta,Flemingia stricta,Fabaceae,Fabales,Shurb_Tree,"89,90,91",OT-006,B,70.82127521,
141,46175,GENBANK,38,F260536,CIAT21115,Flemingia,lineata,Flemingia lineata,Fabaceae,Fabales,Shurb_Tree,"89,90,91",OT-006,A,63.99562858,64.50227528
142,46175,GENBANK,38,F260536,CIAT21115,Flemingia,lineata,Flemingia lineata,Fabaceae,Fabales,Shurb_Tree,"89,90,91",OT-006,B,65.00892197,
143,46175,GENBANK,38,F261034,CIAT8539,Canavalia,grandiflora,Canavalia grandiflora,Fabaceae,Fabales,Climber,"89,90,91",OT-017,A,50.49528056,50.86223067
