21_no,21_date,21_requisitioner,21_set_ciat,21_ciat_lab_id,21_gene_bank_breeding_program_id,21_genus,21_species,21_tax_name,21_family,21_order,21_functional_group,21_ot,21_replication,21_dm_percentage,21_av_dm_105,21_ash_percentage,21_av_ash_percentage,21_om_percentage,21_av_om_percentage
No,Date,Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,,Replication,"DM, %",Av DM 105,"Ash, %","Av Ash, %","OM, %","Av OM, %"
15,,Genetic bank,23,F25-1652,CIAT-822,Calopogonium,mucunoides,Calopogonium mucunoides,Fabaceae,Fabales,Climber,OT-008,A,94.03238705,94.05208276,6.706366116,6.642926026,93.29363388,93.35707397
16,,Genetic bank,23,F25-1652,CIAT-822,Calopogonium,mucunoides,Calopogonium mucunoides,Fabaceae,Fabales,Climber,OT-008,B,94.07177847,,6.579485935,,93.42051406,
17,,Genetic bank,23,F25-1653,CIAT-852,Dioclea,sericea,Dioclea sericea,Fabaceae,Fabales,Climber,OT-008,A,93.72313843,93.7684251,9.540020776,9.555531325,90.45997922,90.44446867
18,,Genetic bank,23,F25-1653,CIAT-852,Dioclea,sericea,Dioclea sericea,Fabaceae,Fabales,Climber,OT-008,B,93.81371177,,9.571041874,,90.42895813,
19,,Genetic bank,23,F25-1654,CIAT-907,Dioclea,virgata,Dioclea virgata,Fabaceae,Fabales,Climber,OT-008,A,92.92212336,92.96745912,9.290787184,9.284946755,90.70921282,90.71505325
20,,Genetic bank,23,F25-1654,CIAT-907,Dioclea,virgata,Dioclea virgata,Fabaceae,Fabales,Climber,OT-008,B,93.01279488,,9.279106326,,90.72089367,
21,,Genetic bank,23,F25-1655,CIAT-1992,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-008,A,93.64,92.46630611,8.467949386,8.31531848,91.53205061,91.68468152
22,,Genetic bank,23,F25-1655,CIAT-1992,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-008,B,91.29261222,,8.162687575,,91.83731243,
23,,Genetic bank,23,F25-1656,CIAT-3001,Codariocalyx,gyroides,Codariocalyx gyroides,Fabaceae,Fabales,Shrub,OT-008,A,94.43111378,94.49582886,6.961877939,6.972807418,93.03812206,93.02719258
24,,Genetic bank,23,F25-1656,CIAT-3001,Codariocalyx,gyroides,Codariocalyx gyroides,Fabaceae,Fabales,Shrub,OT-008,B,94.56054395,,6.983736897,,93.0162631,
25,,Genetic bank,23,F25-1657,CIAT-3304,Desmodium,cajanifolium,Desmodium cajanifolium,Fabaceae,Fabales,Shrub,OT-008,A,94.87102579,94.91076537,8.19553428,8.195944015,91.80446572,91.80405598
26,,Genetic bank,23,F25-1657,CIAT-3304,Desmodium,cajanifolium,Desmodium cajanifolium,Fabaceae,Fabales,Shrub,OT-008,B,94.95050495,,8.196353751,,91.80364625,
27,,Genetic bank,23,F25-1658,CIAT-5713,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,OT-008,A,94.60269865,94.6424129,9.377996552,9.341498746,90.62200345,90.65850125
28,,Genetic bank,23,F25-1658,CIAT-5713,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,OT-008,B,94.68212715,,9.305000939,,90.69499906,
29,,Genetic bank,23,F25-1659,CIAT-7381,Galactia,glaucescens,Galactia glaucescens,Fabaceae,Fabales,Herbaceous,OT-008,A,94.14175747,94.47087874,12.68793541,12.77452078,87.31206459,87.22547922
30,,Genetic bank,23,F25-1659,CIAT-7381,Galactia,glaucescens,Galactia glaucescens,Fabaceae,Fabales,Herbaceous,OT-008,B,94.8,,12.86110616,,87.13889384,
31,,Genetic bank,23,F25-1660,CIAT-7799,Dioclea,guianensis,Dioclea guianensis,Fabaceae,Fabales,Climber,OT-008,A,93.39198241,93.46293104,7.818936959,7.769646262,92.18106304,92.23035374
