10_sample_serial_no,10_date,10_requisitioner,10_set_ciat,10_ciat_lab_id,10_gene_bank_breeding_program_id,10_genus,10_species,10_tax_name,10_family,10_order,10_functional_group,10_batches_ciat,10_id_lab,10_observaciones,
Sample serial No,"Date (M,D.Y)",Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,Batches  CIAT,ID LAB,Observaciones,
113,46055,Genbank,29,F252623,CIAT34347,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),,
114,46055,Genbank,29,F251692,CIAT-23715,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Shrub,"62,63,70",OT-008 (2025),Se debera repetir,Falta
115,46055,Jacobo Arango/ Alejandro Montoya,29,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,grasses,"62,63,70",OT-002 (2025),,
116,46062,Genbank,30,F260013,CIAT590,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,
117,46062,Genbank,30,F260014,CIAT778,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,
118,46062,Genbank,30,F260015,CIAT827,Indigofera,jamaicensis,Indigofera jamaicensis,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,
119,46062,Genbank,30,F260016,CIAT997,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,
120,46062,Genbank,30,F260017,CIAT1405,Stylosanthes,capitata,Stylosanthes capitata,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,
121,46062,Genbank,30,F260018,CIAT1812,Stylosanthes,viscosa,Stylosanthes viscosa,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,
122,46062,Genbank,30,F260019,CIAT3694,Desmodium,sandwicense,Desmodium sandwicense,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,
123,46062,Genbank,30,F260020,CIAT4080,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,
124,46062,Genbank,30,F260021,CIAT7162,Indigofera,jamaicensis,Indigofera jamaicensis,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,
125,46062,Genbank,30,F260022,CIAT8820,Tephrosia,cinerea,Tephrosia cinerea,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,
126,46062,Genbank,30,F260023,CIAT14080,Zornia,brasiliensis,Zornia brasiliensis,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,
127,46062,Genbank,30,F260024,CIAT18950,Indigofera,spicata,Indigofera spicata,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,
128,46062,Genbank,30,F260025,CIAT19193,Tephrosia,villosa,Tephrosia villosa,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,
129,46062,Genbank,30,F260026,CIAT19641,Tephrosia,purpurea,Tephrosia purpurea,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,
130,46062,Genbank,30,F260027,CIAT23503,Desmodium,macrodesmum,Desmodium macrodesmum,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,
131,46062,Genbank,30,F260028,CIAT24333,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,
132,46062,Genbank,30,F260029,CIAT33235,Desmodium,scorpiurus,Desmodium scorpiurus,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,
