23_set_ciat,23_sample_id,23_gene_bank_breeding_program_id,23_genus,23_species,23_tax_name,23_replication,23_bag_weight,23_sample_weight_with_bag_g,23_sample_weight_105_g,23_adf_percentage,23_adf_percentage_dm,23_av_adf_percentage_dm
Set CIAT,Sample ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Replication,Bag weight (g),Sample weight with bag (g),Sample weight 105 (g),"ADF, %","ADF, % (DM)"," Av ADF, % (DM)"
10,F24-3526,ABC-22754-1,Lablab ,purpureus,Lablab purpureus,B,,,,,24.23,
10,F24-3527,ABC-22915-1,Aeschynomene ,villosa,Aeschynomene villosa,A,,,,,34.6,34.545
10,F24-3527,ABC-22915-1,Aeschynomene ,villosa,Aeschynomene villosa,B,,,,,34.49,
10,F24-3528,ABC-23259-1,Desmodium,gangeticum,Desmodium gangeticum,A,,,,,24.71,24.965
10,F24-3528,ABC-23259-1,Desmodium,gangeticum,Desmodium gangeticum,B,,,,,25.22,
10,F24-3529,ABC-23339-1,Desmodium,gangeticum,Desmodium gangeticum,A,,,,,14.89,14.565
10,F24-3529,ABC-23339-1,Desmodium,gangeticum,Desmodium gangeticum,B,,,,,14.24,
10,F24-3530,ABC-23761-1,Uraria,picta,Uraria picta,A,,,,,26.43,26.645
10,F24-3530,ABC-23761-1,Uraria,picta,Uraria picta,B,,,,,26.86,
10,F24-3531,ABC-24360-1,Vigna,umbellata,Vigna umbellata,A,,,,,28.08,28.73
10,F24-3531,ABC-24360-1,Vigna,umbellata,Vigna umbellata,B,,,,,29.38,
10,F24-3532,ABC-24466-1,Vigna,umbellata,Vigna umbellata,A,,,,,20.17,19.995
10,F24-3532,ABC-24466-1,Vigna,umbellata,Vigna umbellata,B,,,,,19.82,
10,F24-3533,ABC-32246-1,Chamaecrista,nictitans,Chamaecrista nictitans,A,,,,,26.42652342,26.6427393
10,F24-3533,ABC-32246-1,Chamaecrista,nictitans,Chamaecrista nictitans,B,,,,,26.85895517,
10,F24-3534,ABC-32365-1,Desmanthus,virgatus,Desmanthus virgatus,A,,,,,28.08362098,28.73342378
10,F24-3534,ABC-32365-1,Desmanthus,virgatus,Desmanthus virgatus,B,,,,,29.38322659,
10,F24-3535,ABC-32373-1,Desmanthus,pubescens,Desmanthus pubescens,A,,,,,20.16866025,19.99378193
10,F24-3535,ABC-32373-1,Desmanthus,pubescens,Desmanthus pubescens,B,,,,,19.81890361,
10,F25 0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,A,,,,,,
10,F25 0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,B,,,,,,
10,F25 0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,A,,,,,,
10,F25 0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,B,,,,,,
10,F25 0019,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,A,,,,,,
