42_no,42_column1,42_ciat_lab_id,42_requisitioner,42_gene_bank_breeding_program_id,42_genus,42_species,42_tax_name,42_dm_percentage,42_ash_dm_percentage,42_protein_dm_percentage,42_adf_dm_percentage,42_ndf_dm_percentage,42_remarks
No,Column1,CIAT Lab-ID,Requisitioner,Gene bank /Breeding program ID,Genus,Species,Tax Name,"DM, %","Ash (DM), %","Protein (DM), %","ADF (DM), %"," NDF (DM), %",Remarks
56,4,F24 3592,Breeding,ABC-Mulato_II,Urochloa,interespecifico,Brachiaria interespecifico,96.66083628,14.97129758,11.84729481,24.36365449,59.41988072,F24 3558
57,4,F24 3593,Breeding,ABC-PM21_0215,Megathyrsus,maximus,Megathyrsus maximus,96.01559232,15.052585,9.725160285,29.90976266,65.23814446,F24 3559
58,4,F24 3594,Breeding,ABC-PM21_0631,Megathyrsus,maximus,Megathyrsus maximus,96.79563434,13.98543619,9.055024441,28.77503778,62.86207095,F24 3560
59,4,F24 3595,Breeding,ABC-PM21_2195,Megathyrsus,maximus,Megathyrsus maximus,96.76047086,14.14104437,8.717412856,30.92212321,68.05113316,F24 3561
60,4,F24 3596,Breeding,ABC-PM21_3522,Megathyrsus,maximus,Megathyrsus maximus,96.41535846,15.65465388,8.710478289,29.81695123,64.71518053,F24 3562
61,FAO,0,Breeding,FAO,0,0,FAO,,,,,,FAO
62,5,F24 3597,,ABC-PM21_3534,Megathyrsus,maximus,Megathyrsus maximus,97.28525795,14.47659551,9.000965172,30.91522792,67.23315691,F24 3563
63,5,F24 3598,Breeding,ABC-PM21_3537,Megathyrsus,maximus,Megathyrsus maximus,97.12,14.78068369,10.87316719,26.81044889,61.93762764,F24 3564
64,5,F24 3599,Breeding,ABC-PM21_3545,Megathyrsus,maximus,Megathyrsus maximus,97.13028697,14.59748816,8.40826817,30.00475359,65.74084764,F24 3565
65,5,F24 3600,Breeding,ABC-PM21_3670,Megathyrsus,maximus,Megathyrsus maximus,95.21546891,14.10342923,8.834231116,29.25564376,64.38415589,F24 3566
66,5,F24 3601,Breeding,ABC-PM21_6628,Megathyrsus,maximus,Megathyrsus maximus,94.42555189,13.31603681,9.980926223,29.82723766,64.96026167,F24 3567
67,5,F24 3602,Breeding,ABC-BH08_1149,Urochloa,humidicola,Brachiaria humidicola,94.11,11.5237488,7.526319867,28.61056023,68.72940855,F24 3568
68,5,F24 3603,Breeding,ABC-BH16_0550,Urochloa,humidicola,Brachiaria humidicola,95.16621668,11.17239453,6.425464292,30.14508217,69.15978352,F24 3569
