22_no,22_date,22_technician_name,22_set_ciat,22_sample_id,22_column4,22_column5,22_column6,22_column3,22_replication,22_peso_muestra_g,22_peso_residual_muestra_g,22_peso_total_muestra_g,22_hcl_ml,22_nitrogeno,22_proteina_cruda_percentage_n_x_6_25,22_pc_percentage_dm,22_av_pc_percentage
No,Date,Techincian name,Set CIAT,Sample ID,Column4,Column5,Column6,Column3,Replication,Peso muestra ( g),Peso residual muestra (g),Peso Total Muestra (g),HCl (ml)  ,Nitrogeno (%),Proteina cruda (%) N x 6.25 ,"PC (%), DM","Av PC, %"
86,,,3,F24 3453,ABC-8719,Canavalia,sp.,Canavalia sp. ,B,1.0004,0.0005,0.9999,21.4,3.034513798,18.96571124,20.28346797,
87,,,3,F24 3454,ABC-8797,Desmanthus,virgatus,Desmanthus virgatus,A,1.0003,0,1.0003,27.1,3.845028621,24.03142888,25.88000034,25.88000034
88,,,3,F24 3454,ABC-8797,Desmanthus,virgatus,Desmanthus virgatus,B,1.0003,0,1.0003,27.1,3.845028621,24.03142888,25.88000034,
89,,,3,F24 3455,ABC-8819,Coursetia,caribaea,Coursetia caribaea,A,1.0005,0.0006,0.9999,22.6,3.205472322,20.03420201,21.83464401,21.83464401
90,,,3,F24 3455,ABC-8819,Coursetia,caribaea,Coursetia caribaea,B,1.0005,0.0006,0.9999,22.6,3.205472322,20.03420201,21.83464401,
91,,,4,F24 3582,ABC-BR02_1752,Urochloa,interespecifico,Brachiaria interespecifico,A,,,,,,,10.91797301,10.91797301
92,,,4,F24 3582,ABC-BR02_1752,Urochloa,interespecifico,Brachiaria interespecifico,B,,,,,,,10.91797301,
93,,,4,F24 3583,ABC-BR02_1794,Urochloa,interespecifico,Brachiaria interespecifico,A,,,,,,,9.392254149,9.392254149
94,,,4,F24 3583,ABC-BR02_1794,Urochloa,interespecifico,Brachiaria interespecifico,B,,,,,,,9.392254149,
95,,,4,F24 3584,ABC-BR06_0423,Urochloa,interespecifico,Brachiaria interespecifico,A,,,,,,,11.00867792,11.00867792
96,,,4,F24 3584,ABC-BR06_0423,Urochloa,interespecifico,Brachiaria interespecifico,B,,,,,,,11.00867792,
97,,,4,F24 3585,ABC-BR09_1232,Urochloa,interespecifico,Brachiaria interespecifico,A,,,,,,,10.08023483,10.08023483
98,,,4,F24 3585,ABC-BR09_1232,Urochloa,interespecifico,Brachiaria interespecifico,B,,,,,,,10.08023483,
99,,,4,F24 3586,ABC-BR12_4951,Urochloa,interespecifico,Brachiaria interespecifico,A,,,,,,,11.10404195,11.10404195
100,,,4,F24 3586,ABC-BR12_4951,Urochloa,interespecifico,Brachiaria interespecifico,B,,,,,,,11.10404195,
101,,,4,F24 3587,ABC-BR15_0722,Urochloa,interespecifico,Brachiaria interespecifico,A,,,,,,,10.31254646,10.31254646
102,,,4,F24 3587,ABC-BR15_0722,Urochloa,interespecifico,Brachiaria interespecifico,B,,,,,,,10.31254646,
103,,,4,F24 3588,ABC-BR15_6487,Urochloa,interespecifico,Brachiaria interespecifico,A,,,,,,,9.608712975,9.608712975
104,,,4,F24 3588,ABC-BR15_6487,Urochloa,interespecifico,Brachiaria interespecifico,B,,,,,,,9.608712975,
105,,,4,F24 3589,ABC-BR19_0029,Urochloa,interespecifico,Brachiaria interespecifico,A,,,,,,,10.07879313,10.07879313
106,,,4,F24 3589,ABC-BR19_0029,Urochloa,interespecifico,Brachiaria interespecifico,B,,,,,,,10.07879313,
107,,,4,F24 3590,ABC-BR19_0423,Urochloa,interespecifico,Brachiaria interespecifico,A,,,,,,,10.11450669,10.11450669
108,,,4,F24 3590,ABC-BR19_0423,Urochloa,interespecifico,Brachiaria interespecifico,B,,,,,,,10.11450669,
