subset,id,no,requisitioner,id_lab,tax_order,family,genus,species,tax_name,functional_group,set_ciat,batch,run,replication,syrange,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,gas_ml_g_dm_incubated_24h,ch4_ml_g_ndf_digested_24h,methane_intensity,tddm
1,ABC-7643,197,Genetic bank,F24-3439,Fabales,Fabaceae,Desmanthus,pernambucanus,Desmanthus pernambucanus,Shrub_Trees,2,4,1,1,44,28.58,52.35,4.41,8.99,15.45,16.95,116.87,161.71,42.3,47.11
1,ABC-768,15,Genetic bank,F24-3420,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,1,1,1,1,15,33.53,74.13,4.52,11.67,13.49,15.73,160.77,134.6,39.08,64.82
1,ABC-7703,200,Genetic bank,F24-3440,Fabales,Fabaceae,Aeschynomene,indica,Aeschynomene indica,Herbaceous_legumes,2,4,1,1,47,34.95,65.78,5.36,10.67,15.29,16.22,143.02,100.78,40.57,57.76
1,ABC-7714,309,Genetic bank,F24-3441,Fabales,Fabaceae,Alysicarpus,glumaceus,Alysicarpus glumaceus,Herbaceous_legumes,3,7,1,1,3,36.05,65.7,5.49,10.98,15.09,16.6,141.15,99.24,36.76,64.72
1,ABC-772,18,Genetic bank,F24-3421,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,1,1,1,1,18,32.3,75.07,4.33,11.18,13.46,14.99,163.99,77.57,37.92,65.1
1,ABC-7757,312,Genetic bank,F24-3442,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,3,7,1,1,6,41.62,78.36,6.6,13.59,15.67,17.25,170.05,145.5,46.06,64.37
1,ABC-7759,315,Genetic bank,F24-3443,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,3,7,1,1,9,40.39,84.22,6.41,14.28,15.8,16.82,179.95,120.14,47.01,64.84
1,ABC-7790,318,Genetic bank,F24-3444,Fabales,Fabaceae,Crotalaria,pallida,Crotalaria pallida,Herbaceous_legumes,3,7,1,1,12,32.89,69.33,5.31,13.22,16.07,18.89,150.4,101.62,46.83,61.25
1,ABC-7792,321,Genetic bank,F24-3445,Fabales,Fabaceae,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,Herbaceous_legumes,3,7,1,1,15,40.93,73.08,6.04,12.39,14.69,16.83,157.21,91.88,40.68,65.8
1,ABC-7816,324,Genetic bank,F24-3446,Fabales,Fabaceae,Indigofera,spicata,Indigofera spicata,Herbaceous_legumes,3,7,1,1,18,29.44,61.9,3.97,9.96,13.37,15.95,133.76,113.18,32.93,65.79
1,ABC-7858,327,Genetic bank,F24-3447,Fabales,Fabaceaee,Crotalaria,incana,Crotalaria incana,Herbaceous_legumes,3,7,1,1,21,46.57,82.39,6.88,13.51,14.73,16.32,176.73,82.63,38.79,75.03
1,ABC-7972,332,Genetic bank,F24-3448,Fabales,Fabaceae,Canavalia,brasiliensis,Canavalia brasiliensis,Herbaceous_legumes,3,7,1,1,26,36.2,67.42,4.98,10.93,13.76,16.13,146.61,115.44,35.17,68.52
1,ABC-819,21,Genetic bank,F24-3422,Fabales,Fabaceae,Indigofera,suffruticosa,Indigofera suffruticosa,Herbaceous_legumes,1,1,1,1,21,32.19,63.25,4.58,10.73,14.22,16.94,139.32,201.43,39.4,60.93
1,ABC-8205,335,Genetic bank,F24-3449,Fabales,Fabaceae,Indigofera,suffruticosa,Indigofera suffruticosa,Herbaceous_legumes,3,7,1,1,29,27.41,57.83,4.67,10.54,16.87,18.02,125.33,172.4,36.31,63.4
1,ABC-8402,338,Genetic bank,F24-3450,Fabales,Fabaceae,Indigofera,suffruticosa,Indigofera suffruticosa,Herbaceous_legumes,3,7,1,1,32,32.59,58.26,5.33,10.46,16.26,17.93,126.58,197.94,35.27,64.85
1,ABC-8408,341,Genetic bank,F24-3451,Fabales,Fabaceae,Chamaecrista,nictitans,Chamaecrista nictitans,Herbaceous_legumes,3,7,1,1,35,32.48,61.75,4.88,11.31,15.03,18.27,131.26,421.29,50.04,48.31
1,ABC-8409,344,Genetic bank,F24-3452,Fabales,Fabaceae,Chamaecrista,nictitans,Chamaecrista nictitans,Herbaceous_legumes,3,7,1,1,38,32.07,54.35,4.94,10.18,15.29,18.6,118.18,178.81,42.31,52.95
1,ABC-8719,347,Genetic bank,F24-3453,Fabales,Fabaceae,Canavalia,sp.,Canavalia sp. ,Herbaceous_legumes,3,7,1,1,41,35.72,65.97,5.12,10.94,14.29,16.47,141.01,239.49,34.19,69.74
