subset,id,no,requisitioner,id_lab,tax_order,family,genus,species,tax_name,functional_group,set_ciat,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm
1,ABC-BR-09-1232,57,Breeding,F24-3585,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,97.24,13.8,86.2,10.08,21.03,55.66
1,ABC-BR-12-4951,59,Breeding,F24-3586,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,95.75,15.48,84.52,11.1,23.29,56.86
1,ABC-BR-15-0722,61,Breeding,F24-3587,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,95.22,14.06,85.94,10.31,26.18,60.21
1,ABC-BR-15-6487,63,Breeding,F24-3588,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,95.07,13.57,86.43,9.61,24.55,59.73
1,ABC-BR-19-0029,65,Breeding,F24-3589,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,96.07,14.13,85.87,10.08,23.98,58.41
1,ABC-BR-19-0423,67,Breeding,F24-3590,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,95.35,13.9,86.1,10.11,24.49,59.22
1,ABC-CIAT-16048,269,Breeding,F25-0994,Poales,Poaceae,Megathyrsus ,maximus,Megathyrsus maximus,Grass,9,97.56,15.28,84.72,17.34,32.0,67.1
1,ABC-CIAT-16051,275,Breeding,F25-0997,Poales,Poaceae,Megathyrsus ,maximus,Megathyrsus maximus,Grass,9,96.15,13.98,86.02,14.91,31.61,68.22
1,ABC-CIAT-16888,109,Breeding,F24-3611,Poales,Poaceae,Urochloa,humidicola,Brachiaria humidicola,Grass,5,96.78,11.69,88.31,6.11,30.81,70.0
1,ABC-CIAT-6799,291,Breeding,F25-1005,Poales,Poaceae,Megathyrsus ,maximus,Megathyrsus maximus,Grass,9,96.01,12.66,87.34,13.54,33.7,71.55
