id_lab,id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
F24 3583,ABC-BR02_1794,Brachiaria interespecifico,Grass,13.79,14.51,35.77,63.97
F24 3584,ABC-BR06_0423,Brachiaria interespecifico,Grass,13.06,14.39,34.29,64.5
F24 3585,ABC-BR09_1232,Brachiaria interespecifico,Grass,13.76,14.37,36.04,66.64
F24 3586,ABC-BR12_4951,Brachiaria interespecifico,Grass,14.34,15.02,35.76,65.93
F24 3587,ABC-BR15_0722,Brachiaria interespecifico,Grass,14.28,14.74,36.15,60.89
F24 3588,ABC-BR15_6487,Brachiaria interespecifico,Grass,14.01,14.41,36.06,61.15
F24 3589,ABC-BR19_0029,Brachiaria interespecifico,Grass,13.94,14.86,38.23,62.0
F24 3590,ABC-BR19_0423,Brachiaria interespecifico,Grass,13.93,14.41,37.16,63.48
F25 0994,ABC-CIAT_16048,Megathyrsus maximus,Grass,15.24,16.67,48.72,48.5
F25 0997,ABC-CIAT_16051,Megathyrsus maximus,Grass,14.93,16.89,53.87,45.79
F24 3611,ABC-CIAT_16888,Brachiaria humidicola,Grass,16.38,18.25,62.67,53.26
F25 1005,ABC-CIAT_6799,Megathyrsus maximus,Grass,14.92,16.23,51.97,42.1
