id_lab,id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
73,nan,Medicago rotata var. rotata,Herbaceous_legumes,14.66,16.99,43.81,73.77
72,nan,Medicago rigidula var. rigidula,Herbaceous_legumes,14.97,16.79,38.57,68.45
70,nan,Medicago intertexta var. ciliaris,Herbaceous_legumes,13.41,15.15,44.25,79.5
142,nan,Trifolium glanduliferum,Herbaceous_legumes,14.04,16.05,52.44,65.34
143,nan,Trifolium lappaceum,Herbaceous_legumes,13.1,15.38,51.27,67.49
144,nan,Trifolium batmanicum,Herbaceous_legumes,13.99,16.14,47.77,77.47
370,nan,Lathyrus sativus,Herbaceous_legumes,15.94,15.81,37.25,82.24
369,nan,Lathyrus sativus,Herbaceous_legumes,14.41,14.04,41.41,78.45
368,nan,Lathyrus sativus,Herbaceous_legumes,14.94,14.69,39.29,80.47
367,nan,Lathyrus sativus,Herbaceous_legumes,15.74,15.19,31.42,79.7
366,nan,Lathyrus sativus,Herbaceous_legumes,15.55,15.32,37.73,76.96
364,nan,Lathyrus sativus,Herbaceous_legumes,15.78,15.53,39.47,77.97
363,nan,Lathyrus sativus,Herbaceous_legumes,15.24,15.03,44.95,76.13
362,nan,Lathyrus sativus,Herbaceous_legumes,16.27,15.86,37.44,78.52
361,nan,Lathyrus sativus,Herbaceous_legumes,15.59,15.22,41.92,73.66
360,nan,Lathyrus sativus,Herbaceous_legumes,15.64,15.37,37.7,82.21
359,nan,Lathyrus sativus,Herbaceous_legumes,16.2,15.92,43.47,75.69
358,nan,Lathyrus sativus,Herbaceous_legumes,17.77,17.66,40.73,74.83
357,nan,Lathyrus sativus,Herbaceous_legumes,16.71,16.58,40.88,78.02
356,nan,Lathyrus sativus,Herbaceous_legumes,16.92,16.71,40.58,79.35
355,nan,Lathyrus sativus,Herbaceous_legumes,16.73,16.32,42.85,77.13
354,nan,Lathyrus sativus,Herbaceous_legumes,15.91,15.47,40.27,76.8
353,nan,Lathyrus sativus,Herbaceous_legumes,17.42,16.96,37.27,76.74
199,nan,Lathyrus cirrhosus,Herbaceous_legumes,13.94,15.79,40.02,68.61
198,nan,Lathyrus tingitanus,Herbaceous_legumes,14.43,16.2,39.4,74.47
197,nan,Lathyrus pratensis,Herbaceous_legumes,14.47,17.17,42.97,73.43
196,nan,Lathyrus latifolius,Herbaceous_legumes,14.39,16.07,42.94,69.93
371,nan,Lathyrus sativus,Herbaceous_legumes,14.47,14.27,41.34,81.89
195,nan,vicia palaestina,Herbaceous_legumes,15.05,16.26,49.95,68.18
372,nan,Lathyrus sativus,Herbaceous_legumes,14.72,14.6,41.98,77.29
374,nan,Lathyrus sativus,Herbaceous_legumes,13.97,13.87,40.81,80.87
395,nan,Lathyrus sativus,Herbaceous_legumes,14.64,14.15,37.58,78.87
394,nan,Lathyrus sativus,Herbaceous_legumes,14.29,13.61,37.67,78.43
393,nan,Lathyrus sativus,Herbaceous_legumes,14.92,14.37,39.34,76.69
392,nan,Lathyrus sativus,Herbaceous_legumes,16.16,15.8,42.31,73.67
391,nan,Lathyrus sativus,Herbaceous_legumes,16.14,15.67,39.7,77.08
390,nan,Lathyrus sativus,Herbaceous_legumes,16.41,16.01,41.5,73.42
389,nan,Lathyrus sativus,Herbaceous_legumes,15.56,15.08,38.76,79.55
388,nan,Lathyrus sativus,Herbaceous_legumes,14.71,14.12,44.09,61.28
789,nan,Hordeum vulgare,Grass,15.36,15.11,47.08,46.65
386,nan,Lathyrus sativus,Herbaceous_legumes,16.34,15.87,42.69,75.34
385,nan,Lathyrus sativus,Herbaceous_legumes,16.37,15.94,40.96,74.56
