icarda_id,functional_group,tanoxomic_name,gb_id,genus,run,replication,dm,ndf,om,gas_g_dm_incubated,ch4_g_dm_incubated,ch4_ndf,ch4_g_digested,tddm,ch4_g_kg_dm
ICARDA ID,Functional group,Latin name,GB ID,Genus,Run,Replication,DM,NDF,OM,Gas /g DM Incubated,CH4/gDM incubated,CH4/NDF,Ch4 /g digested,True digestebility,CH4 (g/kg DM) 
250100043,Legume,trifolium pratense,165563,Trifolium,3,2,93.21882703,33.51833319,88.8720488,197.0467072,27.5468097,7.661124657,41.94212617,65.67814323,15.28895597
250100043,Legume,trifolium pratense,165563,Trifolium,3,3,93.21882703,33.51833319,88.8720488,150.5372009,20.71290279,5.76052661,40.28049262,51.42167199,11.4960194
250100044,Legume,Lathyrus sylvestris,168125,Lathyrus,3,1,94.62416717,34.65791518,87.76078566,90.42273943,13.80172624,3.768192184,28.98742325,47.61280822,7.660196847
250100044,Legume,Lathyrus sylvestris,168125,Lathyrus,3,2,94.62416717,34.65791518,87.76078566,122.7201672,18.17546116,4.962323517,40.385833,45.00454692,10.0876954
250100044,Legume,Lathyrus sylvestris,168125,Lathyrus,3,3,94.62416717,34.65791518,87.76078566,126.4774071,19.16145919,5.231523906,44.16220578,43.38881822,10.63494136
250100045,Legume,lathyrus latifolius,171123,Lathyrus,3,1,95.75903151,41.13903844,88.16621851,158.5005763,24.85423931,5.78530266,39.07939577,63.59934391,13.79453282
250100045,Legume,lathyrus latifolius,171123,Lathyrus,3,3,95.75903151,41.13903844,88.16621851,161.1523294,24.61230842,5.728988588,41.66346655,59.07407726,13.66025699
250100046,Legume,lathyrus pratense,171152,Lathyrus,3,1,93.67593526,42.29520463,86.77555486,113.7065408,17.07834962,3.782533711,28.39696373,60.14146364,9.478779512
250100046,Legume,lathyrus pratense,171152,Lathyrus,3,2,93.67593526,42.29520463,86.77555486,108.5540127,15.78460694,3.495994003,25.46859143,61.97675665,8.760729939
250100046,Legume,lathyrus pratense,171152,Lathyrus,3,3,93.67593526,42.29520463,86.77555486,79.06894013,12.8826839,2.853272549,29.32031434,43.93774145,7.150112451
250100047,Legume,Medicago noeana,16162,Medicago,3,1,92.94639102,38.06367227,89.0185466,157.320358,23.31074974,5.692172959,46.00939656,50.66519337,12.9378694
250100047,Legume,Medicago noeana,16162,Medicago,3,2,92.94639102,38.06367227,89.0185466,162.2924019,23.85537886,5.825164099,46.10143441,51.74541567,13.24014799
250100047,Legume,Medicago noeana,16162,Medicago,3,3,92.94639102,38.06367227,89.0185466,166.1079622,24.6095745,6.009328575,42.10434563,58.44901311,13.65873962
251002502,CH,HH Hey,2502,HH Hey,3,1,90.6969697,#N/A,#DIV/0!,205.3094388,31.23007273,#N/A,70.10727316,44.54612385,17.33323068
251002502,CH,HH Hey,2502,HH Hey,3,2,90.6969697,#N/A,#DIV/0!,204.8059826,31.48875085,#N/A,57.75250667,54.52360887,17.47680151
251002502,CH,HH Hey,2502,HH Hey,3,3,90.6969697,#N/A,#DIV/0!,204.2050849,31.74007484,#N/A,59.06177178,53.74047186,17.61629067
250100028,Legume,Medicago sativa ,101045,Medicago,4,1,92.76548217,#N/A,88.03689603,,,#N/A,,,#VALUE!
250100028,Legume,Medicago sativa ,101045,Medicago,4,2,92.76548217,#N/A,88.03689603,,,#N/A,,,#VALUE!
250100028,Legume,Medicago sativa ,101045,Medicago,4,3,92.76548217,#N/A,88.03689603,,,#N/A,,,#VALUE!
250100029,Legume,Medicago sativa,101063,Medicago,4,1,94.97554156,#N/A,89.57815622,,,#N/A,,,#VALUE!
250100029,Legume,Medicago sativa,101063,Medicago,4,2,94.97554156,#N/A,89.57815622,,,#N/A,,,#VALUE!
250100029,Legume,Medicago sativa,101063,Medicago,4,3,94.97554156,#N/A,89.57815622,,,#N/A,,,#VALUE!
250100030,Legume,Medicago sativa,101065,Medicago,4,1,94.55973598,45.96391947,89.33570223,245.7085844,36.90944239,7.593232187,66.99044162,55.09658019,20.4853791
250100030,Legume,Medicago sativa,101065,Medicago,4,2,94.55973598,45.96391947,89.33570223,251.4961322,39.00444842,8.024229411,60.97124158,63.97187822,21.64814369
250100030,Legume,Medicago sativa,101065,Medicago,4,3,94.55973598,45.96391947,89.33570223,246.2727815,37.51777873,7.718382792,52.45606153,71.52229433,20.82301629
250100031,Legume,Medicago sativa,101076,Medicago,4,1,94.11254912,50.19399211,89.49776942,237.7392637,36.4352102,6.831515816,64.42579159,56.5537641,20.22217203
250100031,Legume,Medicago sativa,101076,Medicago,4,2,94.11254912,50.19399211,89.49776942,246.9507478,34.35327977,6.44115878,57.3683359,59.8819527,19.06666462
250100031,Legume,Medicago sativa,101076,Medicago,4,3,94.11254912,50.19399211,89.49776942,242.2414647,36.9191462,6.922252672,63.83971651,57.83099959,20.49076488
250100032,Legume,Medicago sativa,101077,Medicago,4,1,94.81654008,39.17100141,89.19875488,236.6780845,35.25384744,8.533475578,54.38443516,64.82341379,19.56649526
250100032,Legume,Medicago sativa,101077,Medicago,4,2,94.81654008,39.17100141,89.19875488,225.8018448,33.6218947,8.138448371,53.6493249,62.66974424,18.66073325
250100032,Legume,Medicago sativa,101077,Medicago,4,3,94.81654008,39.17100141,89.19875488,240.9211806,37.50293089,9.077884206,62.05849718,60.43158084,20.81477549
250100033,Legume,Medicago sativa,101094,Medicago,4,1,94.63798987,45.15915203,89.14939321,230.3618162,31.04850815,6.506695251,51.92640108,59.79329879,17.2324592
250100033,Legume,Medicago sativa,101094,Medicago,4,2,94.63798987,45.15915203,89.14939321,244.7802939,36.03763969,7.552244952,63.59241317,56.66971559,20.00151351
250100033,Legume,Medicago sativa,101094,Medicago,4,3,94.63798987,45.15915203,89.14939321,244.8286312,37.49703505,7.85808383,61.17627329,61.29342805,20.81150319
